"Pressure","Points:0","Points:1","Points:2"
2.9596e+05,0,0,0
2.959e+05,0.006,0,0
2.9583e+05,0.012,0,0
2.9577e+05,0.018,0,0
2.957e+05,0.024,0,0
2.9564e+05,0.03,0,0
2.9558e+05,0.036,0,0
2.9551e+05,0.042,0,0
2.9545e+05,0.048,0,0
2.9537e+05,0.054,0,0
2.953e+05,0.06,0,0
2.9522e+05,0.066,0,0
2.9514e+05,0.072,0,0
2.9506e+05,0.078,0,0
2.9498e+05,0.084,0,0
2.949e+05,0.09,0,0
2.9482e+05,0.096,0,0
2.9493e+05,0.102,0,0
2.9541e+05,0.108,0,0
2.9589e+05,0.114,0,0
2.9637e+05,0.12,0,0
2.9684e+05,0.126,0,0
2.9732e+05,0.132,0,0
2.978e+05,0.138,0,0
2.9828e+05,0.144,0,0
2.9876e+05,0.15,0,0
2.9998e+05,0.156,0,0
3.0121e+05,0.162,0,0
3.0243e+05,0.168,0,0
3.0365e+05,0.174,0,0
3.0487e+05,0.18,0,0
3.061e+05,0.186,0,0
3.0732e+05,0.192,0,0
3.0854e+05,0.198,0,0
3.0948e+05,0.204,0,0
3.1027e+05,0.21,0,0
3.1106e+05,0.216,0,0
3.1185e+05,0.222,0,0
3.1264e+05,0.228,0,0
3.1343e+05,0.234,0,0
3.1422e+05,0.24,0,0
3.1501e+05,0.246,0,0
3.1495e+05,0.252,0,0
3.1321e+05,0.258,0,0
3.1146e+05,0.264,0,0
3.0972e+05,0.27,0,0
3.0797e+05,0.276,0,0
3.0622e+05,0.282,0,0
3.0448e+05,0.288,0,0
3.0273e+05,0.294,0,0
3.0099e+05,0.3,0,0
2.9683e+05,0.306,0,0
2.9268e+05,0.312,0,0
2.8852e+05,0.318,0,0
2.8437e+05,0.324,0,0
2.8021e+05,0.33,0,0
2.7606e+05,0.336,0,0
2.719e+05,0.342,0,0
2.6775e+05,0.348,0,0
2.6319e+05,0.354,0,0
2.5843e+05,0.36,0,0
2.5367e+05,0.366,0,0
2.489e+05,0.372,0,0
2.4414e+05,0.378,0,0
2.3938e+05,0.384,0,0
2.3462e+05,0.39,0,0
2.2986e+05,0.396,0,0
2.2519e+05,0.402,0,0
2.2074e+05,0.408,0,0
2.1628e+05,0.414,0,0
2.1182e+05,0.42,0,0
2.0736e+05,0.426,0,0
2.029e+05,0.432,0,0
1.9844e+05,0.438,0,0
1.9398e+05,0.444,0,0
1.8952e+05,0.45,0,0
1.8577e+05,0.456,0,0
1.8203e+05,0.462,0,0
1.7828e+05,0.468,0,0
1.7453e+05,0.474,0,0
1.7079e+05,0.48,0,0
1.6704e+05,0.486,0,0
1.6329e+05,0.492,0,0
1.5955e+05,0.498,0,0
1.5622e+05,0.504,0,0
1.5309e+05,0.51,0,0
1.4997e+05,0.516,0,0
1.4685e+05,0.522,0,0
1.4372e+05,0.528,0,0
1.406e+05,0.534,0,0
1.3748e+05,0.54,0,0
1.3435e+05,0.546,0,0
1.3145e+05,0.552,0,0
1.2898e+05,0.558,0,0
1.2652e+05,0.564,0,0
1.2405e+05,0.57,0,0
1.2158e+05,0.576,0,0
1.1911e+05,0.582,0,0
1.1664e+05,0.588,0,0
1.1418e+05,0.594,0,0
1.1171e+05,0.6,0,0
1.0976e+05,0.606,0,0
1.0782e+05,0.612,0,0
1.0587e+05,0.618,0,0
1.0392e+05,0.624,0,0
1.0197e+05,0.63,0,0
1.0003e+05,0.636,0,0
98079,0.642,0,0
96132,0.648,0,0
94462,0.654,0,0
92930,0.66,0,0
91398,0.666,0,0
89866,0.672,0,0
88335,0.678,0,0
86803,0.684,0,0
85271,0.69,0,0
83739,0.696,0,0
82316,0.702,0,0
81110,0.708,0,0
79904,0.714,0,0
78697,0.72,0,0
77491,0.726,0,0
76285,0.732,0,0
75079,0.738,0,0
73872,0.744,0,0
72666,0.75,0,0
71717,0.756,0,0
70767,0.762,0,0
69818,0.768,0,0
68868,0.774,0,0
67919,0.78,0,0
66969,0.786,0,0
66020,0.792,0,0
65071,0.798,0,0
64255,0.804,0,0
63508,0.81,0,0
62760,0.816,0,0
62012,0.822,0,0
61264,0.828,0,0
60516,0.834,0,0
59768,0.84,0,0
59021,0.846,0,0
58327,0.852,0,0
57744,0.858,0,0
57160,0.864,0,0
56576,0.87,0,0
55993,0.876,0,0
55409,0.882,0,0
54825,0.888,0,0
54241,0.894,0,0
53658,0.9,0,0
53189,0.906,0,0
52720,0.912,0,0
52251,0.918,0,0
51782,0.924,0,0
51313,0.93,0,0
50844,0.936,0,0
50375,0.942,0,0
49906,0.948,0,0
49486,0.954,0,0
49092,0.96,0,0
48697,0.966,0,0
48303,0.972,0,0
47908,0.978,0,0
47514,0.984,0,0
47119,0.99,0,0
46725,0.996,0,0
46346,1.002,0,0
45998,1.008,0,0
45650,1.014,0,0
45302,1.02,0,0
44955,1.026,0,0
44607,1.032,0,0
44259,1.038,0,0
43911,1.044,0,0
43564,1.05,0,0
43239,1.056,0,0
42915,1.062,0,0
42590,1.068,0,0
42266,1.074,0,0
41941,1.08,0,0
41617,1.086,0,0
41293,1.092,0,0
40968,1.098,0,0
40658,1.104,0,0
40355,1.11,0,0
40052,1.116,0,0
39749,1.122,0,0
39446,1.128,0,0
39143,1.134,0,0
38839,1.14,0,0
38536,1.146,0,0
38240,1.152,0,0
37956,1.158,0,0
37672,1.164,0,0
37389,1.17,0,0
37105,1.176,0,0
36821,1.182,0,0
36538,1.188,0,0
36254,1.194,0,0
35970,1.2,0,0
35689,1.206,0,0
35407,1.212,0,0
35125,1.218,0,0
34843,1.224,0,0
34561,1.23,0,0
34279,1.236,0,0
33997,1.242,0,0
33715,1.248,0,0
33430,1.254,0,0
33142,1.26,0,0
32855,1.266,0,0
32568,1.272,0,0
32281,1.278,0,0
31993,1.284,0,0
31706,1.29,0,0
31419,1.296,0,0
31133,1.302,0,0
30850,1.308,0,0
30567,1.314,0,0
30283,1.32,0,0
30000,1.326,0,0
29717,1.332,0,0
29434,1.338,0,0
29150,1.344,0,0
28867,1.35,0,0
28570,1.356,0,0
28274,1.362,0,0
27977,1.368,0,0
27680,1.374,0,0
27383,1.38,0,0
27087,1.386,0,0
26790,1.392,0,0
26493,1.398,0,0
26243,1.404,0,0
26015,1.41,0,0
25788,1.416,0,0
25560,1.422,0,0
25332,1.428,0,0
25105,1.434,0,0
24877,1.44,0,0
24650,1.446,0,0
24402,1.452,0,0
24114,1.458,0,0
23826,1.464,0,0
23538,1.47,0,0
23250,1.476,0,0
22962,1.482,0,0
22674,1.488,0,0
22386,1.494,0,0
22098,1.5,0,0
21026,1.506,0,0
19954,1.512,0,0
18882,1.518,0,0
17810,1.524,0,0
16738,1.53,0,0
15666,1.536,0,0
14593,1.542,0,0
13522,1.548,0,0
32885,1.554,0,0
62466,1.56,0,0
92047,1.566,0,0
1.2163e+05,1.572,0,0
1.5121e+05,1.578,0,0
1.8079e+05,1.584,0,0
2.1037e+05,1.59,0,0
2.3995e+05,1.596,0,0
2.5659e+05,1.602,0,0
2.4735e+05,1.608,0,0
2.3811e+05,1.614,0,0
2.2887e+05,1.62,0,0
2.1962e+05,1.626,0,0
2.1038e+05,1.632,0,0
2.0114e+05,1.638,0,0
1.9189e+05,1.644,0,0
1.8265e+05,1.65,0,0
1.7673e+05,1.656,0,0
1.708e+05,1.662,0,0
1.6487e+05,1.668,0,0
1.5895e+05,1.674,0,0
1.5302e+05,1.68,0,0
1.4709e+05,1.686,0,0
1.4117e+05,1.692,0,0
1.3524e+05,1.698,0,0
1.3194e+05,1.704,0,0
1.2995e+05,1.71,0,0
1.2796e+05,1.716,0,0
1.2598e+05,1.722,0,0
1.2399e+05,1.728,0,0
1.22e+05,1.734,0,0
1.2001e+05,1.74,0,0
1.1803e+05,1.746,0,0
1.161e+05,1.752,0,0
1.1428e+05,1.758,0,0
1.1247e+05,1.764,0,0
1.1066e+05,1.77,0,0
1.0885e+05,1.776,0,0
1.0703e+05,1.782,0,0
1.0522e+05,1.788,0,0
1.0341e+05,1.794,0,0
1.016e+05,1.8,0,0
1.0033e+05,1.806,0,0
99062,1.812,0,0
97794,1.818,0,0
96526,1.824,0,0
95259,1.83,0,0
93991,1.836,0,0
92723,1.842,0,0
91455,1.848,0,0
90690,1.854,0,0
90177,1.86,0,0
89663,1.866,0,0
89150,1.872,0,0
88636,1.878,0,0
88123,1.884,0,0
87609,1.89,0,0
87096,1.896,0,0
86788,1.902,0,0
86894,1.908,0,0
87000,1.914,0,0
87105,1.92,0,0
87211,1.926,0,0
87317,1.932,0,0
87422,1.938,0,0
87528,1.944,0,0
87633,1.95,0,0
88026,1.956,0,0
88418,1.962,0,0
88811,1.968,0,0
89203,1.974,0,0
89596,1.98,0,0
89988,1.986,0,0
90381,1.992,0,0
90773,1.998,0,0
91310,2.004,0,0
91918,2.01,0,0
92526,2.016,0,0
93134,2.022,0,0
93742,2.028,0,0
94351,2.034,0,0
94959,2.04,0,0
95567,2.046,0,0
96222,2.052,0,0
96972,2.058,0,0
97721,2.064,0,0
98471,2.07,0,0
99220,2.076,0,0
99970,2.082,0,0
1.0072e+05,2.088,0,0
1.0147e+05,2.094,0,0
1.0222e+05,2.1,0,0
1.0307e+05,2.106,0,0
1.0392e+05,2.112,0,0
1.0477e+05,2.118,0,0
1.0562e+05,2.124,0,0
1.0648e+05,2.13,0,0
1.0733e+05,2.136,0,0
1.0818e+05,2.142,0,0
1.0903e+05,2.148,0,0
1.0993e+05,2.154,0,0
1.1086e+05,2.16,0,0
1.1178e+05,2.166,0,0
1.1271e+05,2.172,0,0
1.1363e+05,2.178,0,0
1.1456e+05,2.184,0,0
1.1548e+05,2.19,0,0
1.1641e+05,2.196,0,0
1.1734e+05,2.202,0,0
1.1828e+05,2.208,0,0
1.1922e+05,2.214,0,0
1.2016e+05,2.22,0,0
1.2111e+05,2.226,0,0
1.2205e+05,2.232,0,0
1.2299e+05,2.238,0,0
1.2393e+05,2.244,0,0
1.2487e+05,2.25,0,0
1.2582e+05,2.256,0,0
1.2676e+05,2.262,0,0
1.2771e+05,2.268,0,0
1.2865e+05,2.274,0,0
1.296e+05,2.28,0,0
1.3054e+05,2.286,0,0
1.3148e+05,2.292,0,0
1.3243e+05,2.298,0,0
1.3336e+05,2.304,0,0
1.3429e+05,2.31,0,0
1.3522e+05,2.316,0,0
1.3615e+05,2.322,0,0
1.3708e+05,2.328,0,0
1.38e+05,2.334,0,0
1.3893e+05,2.34,0,0
1.3986e+05,2.346,0,0
1.4075e+05,2.352,0,0
1.4157e+05,2.358,0,0
1.4238e+05,2.364,0,0
1.432e+05,2.37,0,0
1.4401e+05,2.376,0,0
1.4483e+05,2.382,0,0
1.4564e+05,2.388,0,0
1.4645e+05,2.394,0,0
1.4727e+05,2.4,0,0
1.4792e+05,2.406,0,0
1.4857e+05,2.412,0,0
1.4922e+05,2.418,0,0
1.4987e+05,2.424,0,0
1.5052e+05,2.43,0,0
1.5118e+05,2.436,0,0
1.5183e+05,2.442,0,0
1.5248e+05,2.448,0,0
1.5306e+05,2.454,0,0
1.5362e+05,2.46,0,0
1.5418e+05,2.466,0,0
1.5473e+05,2.472,0,0
1.5529e+05,2.478,0,0
1.5584e+05,2.484,0,0
1.564e+05,2.49,0,0
1.5695e+05,2.496,0,0
1.5746e+05,2.502,0,0
1.5788e+05,2.508,0,0
1.5829e+05,2.514,0,0
1.5871e+05,2.52,0,0
1.5913e+05,2.526,0,0
1.5954e+05,2.532,0,0
1.5996e+05,2.538,0,0
1.6038e+05,2.544,0,0
1.6079e+05,2.55,0,0
1.6102e+05,2.556,0,0
1.6126e+05,2.562,0,0
1.6149e+05,2.568,0,0
1.6172e+05,2.574,0,0
1.6195e+05,2.58,0,0
1.6219e+05,2.586,0,0
1.6242e+05,2.592,0,0
1.6265e+05,2.598,0,0
1.6272e+05,2.604,0,0
1.6272e+05,2.61,0,0
1.6271e+05,2.616,0,0
1.6271e+05,2.622,0,0
1.627e+05,2.628,0,0
1.627e+05,2.634,0,0
1.6269e+05,2.64,0,0
1.6269e+05,2.646,0,0
1.6259e+05,2.652,0,0
1.6233e+05,2.658,0,0
1.6206e+05,2.664,0,0
1.6179e+05,2.67,0,0
1.6152e+05,2.676,0,0
1.6126e+05,2.682,0,0
1.6099e+05,2.688,0,0
1.6072e+05,2.694,0,0
1.6045e+05,2.7,0,0
1.5994e+05,2.706,0,0
1.5943e+05,2.712,0,0
1.5892e+05,2.718,0,0
1.5841e+05,2.724,0,0
1.5789e+05,2.73,0,0
1.5738e+05,2.736,0,0
1.5687e+05,2.742,0,0
1.5636e+05,2.748,0,0
1.5571e+05,2.754,0,0
1.55e+05,2.76,0,0
1.5429e+05,2.766,0,0
1.5358e+05,2.772,0,0
1.5287e+05,2.778,0,0
1.5216e+05,2.784,0,0
1.5145e+05,2.79,0,0
1.5074e+05,2.796,0,0
1.4996e+05,2.802,0,0
1.4905e+05,2.808,0,0
1.4814e+05,2.814,0,0
1.4723e+05,2.82,0,0
1.4632e+05,2.826,0,0
1.4541e+05,2.832,0,0
1.445e+05,2.838,0,0
1.4359e+05,2.844,0,0
1.4268e+05,2.85,0,0
1.4164e+05,2.856,0,0
1.4059e+05,2.862,0,0
1.3955e+05,2.868,0,0
1.3851e+05,2.874,0,0
1.3747e+05,2.88,0,0
1.3643e+05,2.886,0,0
1.3539e+05,2.892,0,0
1.3435e+05,2.898,0,0
1.3327e+05,2.904,0,0
1.3217e+05,2.91,0,0
1.3107e+05,2.916,0,0
1.2997e+05,2.922,0,0
1.2887e+05,2.928,0,0
1.2778e+05,2.934,0,0
1.2668e+05,2.94,0,0
1.2558e+05,2.946,0,0
1.2447e+05,2.952,0,0
1.2336e+05,2.958,0,0
1.2225e+05,2.964,0,0
1.2114e+05,2.97,0,0
1.2002e+05,2.976,0,0
1.1891e+05,2.982,0,0
1.178e+05,2.988,0,0
1.1669e+05,2.994,0,0
1.1557e+05,3,0,0
1.145e+05,3.006,0,0
1.1343e+05,3.012,0,0
