"TP","Points:0","Points:1","Points:2"
0.79357,0,0,0
0.79357,0.01,0,0
0.79357,0.02,0,0
0.79357,0.03,0,0
0.79357,0.04,0,0
0.79357,0.05,0,0
0.79357,0.06,0,0
0.79357,0.07,0,0
0.79357,0.08,0,0
0.79357,0.09,0,0
0.79357,0.1,0,0
0.79357,0.11,0,0
0.79357,0.12,0,0
0.79357,0.13,0,0
0.79357,0.14,0,0
0.79357,0.15,0,0
0.79357,0.16,0,0
0.79357,0.17,0,0
0.79357,0.18,0,0
0.79357,0.19,0,0
0.79357,0.2,0,0
0.79357,0.21,0,0
0.79357,0.22,0,0
0.79357,0.23,0,0
0.79357,0.24,0,0
0.7936,0.25,0,0
0.79363,0.26,0,0
0.79381,0.27,0,0
0.794,0.28,0,0
0.79425,0.29,0,0
0.7945,0.3,0,0
0.79455,0.31,0,0
0.7946,0.32,0,0
0.79442,0.33,0,0
0.79425,0.34,0,0
0.78973,0.35,0,0
0.78522,0.36,0,0
0.77649,0.37,0,0
0.76777,0.38,0,0
0.75934,0.39,0,0
0.75091,0.4,0,0
0.73954,0.41,0,0
0.72817,0.42,0,0
0.71666,0.43,0,0
0.70514,0.44,0,0
0.69248,0.45,0,0
0.67982,0.46,0,0
0.66785,0.47,0,0
0.65589,0.48,0,0
0.64624,0.49,0,0
0.6366,0.5,0,0
0.62771,0.51,0,0
0.61882,0.52,0,0
0.60927,0.53,0,0
0.59971,0.54,0,0
0.58971,0.55,0,0
0.57971,0.56,0,0
0.57004,0.57,0,0
0.56038,0.58,0,0
0.5513,0.59,0,0
0.54222,0.6,0,0
0.53361,0.61,0,0
0.525,0.62,0,0
0.51671,0.63,0,0
0.50841,0.64,0,0
0.50032,0.65,0,0
0.49222,0.66,0,0
0.48429,0.67,0,0
0.47635,0.68,0,0
0.46857,0.69,0,0
0.46078,0.7,0,0
0.45319,0.71,0,0
0.4456,0.72,0,0
0.43825,0.73,0,0
0.4309,0.74,0,0
0.42384,0.75,0,0
0.41678,0.76,0,0
0.41002,0.77,0,0
0.40325,0.78,0,0
0.39676,0.79,0,0
0.39027,0.8,0,0
0.38404,0.81,0,0
0.37781,0.82,0,0
0.37182,0.83,0,0
0.36582,0.84,0,0
0.36004,0.85,0,0
0.35426,0.86,0,0
0.34868,0.87,0,0
0.34309,0.88,0,0
0.33769,0.89,0,0
0.33228,0.9,0,0
0.32709,0.91,0,0
0.3219,0.92,0,0
0.31695,0.93,0,0
0.31199,0.94,0,0
0.30728,0.95,0,0
0.30258,0.96,0,0
0.29812,0.97,0,0
0.29366,0.98,0,0
0.28943,0.99,0,0
0.28521,1,0,0
0.2812,1.01,0,0
0.2772,1.02,0,0
0.27339,1.03,0,0
0.26958,1.04,0,0
0.26595,1.05,0,0
0.26232,1.06,0,0
0.25885,1.07,0,0
0.25539,1.08,0,0
0.25207,1.09,0,0
0.24876,1.1,0,0
0.24559,1.11,0,0
0.24243,1.12,0,0
0.2394,1.13,0,0
0.23637,1.14,0,0
0.23347,1.15,0,0
0.23058,1.16,0,0
0.22781,1.17,0,0
0.22505,1.18,0,0
0.22241,1.19,0,0
0.21977,1.2,0,0
0.21726,1.21,0,0
0.21474,1.22,0,0
0.21235,1.23,0,0
0.20995,1.24,0,0
0.20767,1.25,0,0
0.20539,1.26,0,0
0.20322,1.27,0,0
0.20105,1.28,0,0
0.19899,1.29,0,0
0.19692,1.3,0,0
0.19496,1.31,0,0
0.19299,1.32,0,0
0.19112,1.33,0,0
0.18926,1.34,0,0
0.18747,1.35,0,0
0.18569,1.36,0,0
0.18399,1.37,0,0
0.18229,1.38,0,0
0.18065,1.39,0,0
0.17902,1.4,0,0
0.17745,1.41,0,0
0.17588,1.42,0,0
0.17436,1.43,0,0
0.17285,1.44,0,0
0.17138,1.45,0,0
0.1699,1.46,0,0
0.16847,1.47,0,0
0.16704,1.48,0,0
0.16565,1.49,0,0
0.16425,1.5,0,0
0.16288,1.51,0,0
0.16151,1.52,0,0
0.16017,1.53,0,0
0.15882,1.54,0,0
0.15749,1.55,0,0
0.15617,1.56,0,0
0.15486,1.57,0,0
0.15354,1.58,0,0
0.15225,1.59,0,0
0.15095,1.6,0,0
0.14966,1.61,0,0
0.14836,1.62,0,0
0.14708,1.63,0,0
0.1458,1.64,0,0
0.14452,1.65,0,0
0.14324,1.66,0,0
0.14198,1.67,0,0
0.14072,1.68,0,0
0.13945,1.69,0,0
0.13818,1.7,0,0
0.1369,1.71,0,0
0.13562,1.72,0,0
0.1347,1.73,0,0
0.13377,1.74,0,0
0.13137,1.75,0,0
0.12896,1.76,0,0
0.12692,1.77,0,0
0.12487,1.78,0,0
0.14005,1.79,0,0
0.15523,1.8,0,0
0.1662,1.81,0,0
0.17717,1.82,0,0
0.18812,1.83,0,0
0.19906,1.84,0,0
0.20263,1.85,0,0
0.20621,1.86,0,0
0.20819,1.87,0,0
0.21017,1.88,0,0
0.21162,1.89,0,0
0.21307,1.9,0,0
0.2137,1.91,0,0
0.21432,1.92,0,0
0.21522,1.93,0,0
0.21612,1.94,0,0
0.21779,1.95,0,0
0.21947,1.96,0,0
0.22034,1.97,0,0
0.22122,1.98,0,0
0.22131,1.99,0,0
0.22141,2,0,0
0.2216,2.01,0,0
0.2218,2.02,0,0
0.22188,2.03,0,0
0.22197,2.04,0,0
0.22214,2.05,0,0
0.2223,2.06,0,0
0.2225,2.07,0,0
0.2227,2.08,0,0
0.22287,2.09,0,0
0.22304,2.1,0,0
0.22319,2.11,0,0
0.22335,2.12,0,0
0.22348,2.13,0,0
0.22361,2.14,0,0
0.22369,2.15,0,0
0.22378,2.16,0,0
0.22381,2.17,0,0
0.22384,2.18,0,0
0.2238,2.19,0,0
0.22376,2.2,0,0
0.22366,2.21,0,0
0.22355,2.22,0,0
0.22338,2.23,0,0
0.22321,2.24,0,0
0.22298,2.25,0,0
0.22276,2.26,0,0
0.22248,2.27,0,0
0.22221,2.28,0,0
0.2219,2.29,0,0
0.2216,2.3,0,0
0.22129,2.31,0,0
0.22098,2.32,0,0
0.22069,2.33,0,0
0.22039,2.34,0,0
0.22012,2.35,0,0
0.21985,2.36,0,0
0.21961,2.37,0,0
0.21937,2.38,0,0
0.21919,2.39,0,0
0.219,2.4,0,0
0.21887,2.41,0,0
0.21873,2.42,0,0
0.21866,2.43,0,0
0.21859,2.44,0,0
0.21859,2.45,0,0
0.21858,2.46,0,0
0.21867,2.47,0,0
0.21875,2.48,0,0
0.21891,2.49,0,0
0.21907,2.5,0,0
0.21928,2.51,0,0
0.2195,2.52,0,0
0.21975,2.53,0,0
0.22001,2.54,0,0
0.22029,2.55,0,0
0.22057,2.56,0,0
0.22087,2.57,0,0
0.22116,2.58,0,0
0.22145,2.59,0,0
0.22173,2.6,0,0
0.222,2.61,0,0
0.22227,2.62,0,0
0.22248,2.63,0,0
0.2227,2.64,0,0
0.22284,2.65,0,0
0.22298,2.66,0,0
0.22303,2.67,0,0
0.22308,2.68,0,0
0.22302,2.69,0,0
0.22296,2.7,0,0
0.2228,2.71,0,0
0.22263,2.72,0,0
0.22235,2.73,0,0
0.22207,2.74,0,0
0.22168,2.75,0,0
0.22129,2.76,0,0
0.22078,2.77,0,0
0.22028,2.78,0,0
0.21968,2.79,0,0
0.21907,2.8,0,0
0.21839,2.81,0,0
0.21771,2.82,0,0
0.21697,2.83,0,0
0.21622,2.84,0,0
0.21542,2.85,0,0
0.21461,2.86,0,0
0.21376,2.87,0,0
0.2129,2.88,0,0
0.21203,2.89,0,0
0.21115,2.9,0,0
0.2103,2.91,0,0
0.20945,2.92,0,0
0.20863,2.93,0,0
0.20781,2.94,0,0
0.20703,2.95,0,0
0.20626,2.96,0,0
0.20555,2.97,0,0
0.20483,2.98,0,0
0.2042,2.99,0,0
0.20357,3,0,0
0.20302,3.01,0,0
0.20247,3.02,0,0
0.20199,3.03,0,0
0.20152,3.04,0,0
0.2011,3.05,0,0
0.20068,3.06,0,0
0.20032,3.07,0,0
0.19996,3.08,0,0
0.19965,3.09,0,0
0.19935,3.1,0,0
0.19907,3.11,0,0
0.1988,3.12,0,0
0.19853,3.13,0,0
0.19826,3.14,0,0
0.19798,3.15,0,0
0.19769,3.16,0,0
0.19738,3.17,0,0
0.19707,3.18,0,0
0.19672,3.19,0,0
0.19637,3.2,0,0
0.19599,3.21,0,0
0.1956,3.22,0,0
0.19515,3.23,0,0
0.1947,3.24,0,0
0.19418,3.25,0,0
0.19365,3.26,0,0
0.19305,3.27,0,0
0.19245,3.28,0,0
0.19177,3.29,0,0
0.19108,3.3,0,0
0.19031,3.31,0,0
0.18954,3.32,0,0
0.18866,3.33,0,0
0.18778,3.34,0,0
0.18681,3.35,0,0
0.18584,3.36,0,0
0.1848,3.37,0,0
0.18376,3.38,0,0
0.18265,3.39,0,0
0.18154,3.4,0,0
0.18037,3.41,0,0
0.1792,3.42,0,0
0.17798,3.43,0,0
0.17676,3.44,0,0
0.1755,3.45,0,0
0.17423,3.46,0,0
0.17293,3.47,0,0
0.17162,3.48,0,0
0.17028,3.49,0,0
0.16893,3.5,0,0
0.16754,3.51,0,0
0.16615,3.52,0,0
0.16472,3.53,0,0
0.16329,3.54,0,0
0.16182,3.55,0,0
0.16034,3.56,0,0
0.15886,3.57,0,0
0.15737,3.58,0,0
0.15587,3.59,0,0
0.15438,3.6,0,0
0.15286,3.61,0,0
0.15134,3.62,0,0
0.14984,3.63,0,0
0.14834,3.64,0,0
0.14692,3.65,0,0
0.1455,3.66,0,0
0.14402,3.67,0,0
0.14255,3.68,0,0
0.14148,3.69,0,0
0.1404,3.7,0,0
0.13866,3.71,0,0
0.13692,3.72,0,0
0.13769,3.73,0,0
0.13846,3.74,0,0
0.1448,3.75,0,0
0.15113,3.76,0,0
0.17186,3.77,0,0
0.19258,3.78,0,0
0.18793,3.79,0,0
0.18328,3.8,0,0
0.18579,3.81,0,0
0.1883,3.82,0,0
0.18785,3.83,0,0
0.18739,3.84,0,0
0.18641,3.85,0,0
0.18543,3.86,0,0
0.1853,3.87,0,0
0.18517,3.88,0,0
0.18565,3.89,0,0
0.18614,3.9,0,0
0.18645,3.91,0,0
0.18676,3.92,0,0
0.18681,3.93,0,0
0.18686,3.94,0,0
0.18678,3.95,0,0
0.1867,3.96,0,0
0.18658,3.97,0,0
0.18645,3.98,0,0
0.18637,3.99,0,0
0.18629,4,0,0
0.18624,4.01,0,0
0.1862,4.02,0,0
0.18624,4.03,0,0
0.18628,4.04,0,0
0.18641,4.05,0,0
0.18655,4.06,0,0
0.18676,4.07,0,0
0.18696,4.08,0,0
0.18729,4.09,0,0
0.18763,4.1,0,0
0.18805,4.11,0,0
0.18847,4.12,0,0
0.18894,4.13,0,0
0.18942,4.14,0,0
0.18992,4.15,0,0
0.19042,4.16,0,0
0.19095,4.17,0,0
0.19148,4.18,0,0
0.19206,4.19,0,0
0.19263,4.2,0,0
0.19325,4.21,0,0
0.19387,4.22,0,0
0.19449,4.23,0,0
0.1951,4.24,0,0
0.19569,4.25,0,0
0.19627,4.26,0,0
0.19678,4.27,0,0
0.1973,4.28,0,0
0.19768,4.29,0,0
0.19805,4.3,0,0
0.19832,4.31,0,0
0.19858,4.32,0,0
0.19875,4.33,0,0
0.19892,4.34,0,0
0.19895,4.35,0,0
0.19898,4.36,0,0
0.19887,4.37,0,0
0.19876,4.38,0,0
0.19845,4.39,0,0
0.19814,4.4,0,0
0.19757,4.41,0,0
0.197,4.42,0,0
0.1962,4.43,0,0
0.1954,4.44,0,0
0.19453,4.45,0,0
0.19365,4.46,0,0
0.19217,4.47,0,0
0.1907,4.48,0,0
0.1893,4.49,0,0
0.18791,4.5,0,0
0.1868,4.51,0,0
0.18569,4.52,0,0
0.18448,4.53,0,0
0.18327,4.54,0,0
0.18207,4.55,0,0
0.18087,4.56,0,0
0.1796,4.57,0,0
0.17834,4.58,0,0
0.17722,4.59,0,0
0.1761,4.6,0,0
0.1752,4.61,0,0
0.17431,4.62,0,0
0.17358,4.63,0,0
0.17285,4.64,0,0
0.1723,4.65,0,0
0.17174,4.66,0,0
0.17139,4.67,0,0
0.17103,4.68,0,0
0.17088,4.69,0,0
0.17073,4.7,0,0
0.17079,4.71,0,0
0.17085,4.72,0,0
0.17113,4.73,0,0
0.17142,4.74,0,0
0.17197,4.75,0,0
0.17252,4.76,0,0
0.17329,4.77,0,0
0.17407,4.78,0,0
0.17505,4.79,0,0
0.17602,4.8,0,0
0.17717,4.81,0,0
0.17832,4.82,0,0
0.17963,4.83,0,0
0.18093,4.84,0,0
0.18235,4.85,0,0
0.18377,4.86,0,0
0.18528,4.87,0,0
0.18678,4.88,0,0
0.18829,4.89,0,0
0.18979,4.9,0,0
0.19128,4.91,0,0
0.19277,4.92,0,0
0.19426,4.93,0,0
0.19575,4.94,0,0
0.19721,4.95,0,0
0.19868,4.96,0,0
0.20008,4.97,0,0
0.20148,4.98,0,0
0.2027,4.99,0,0
0.20392,5,0,0
0.20496,5.01,0,0
0.20601,5.02,0,0
0.20688,5.03,0,0
0.20775,5.04,0,0
0.20845,5.05,0,0
0.20915,5.06,0,0
0.20968,5.07,0,0
0.2102,5.08,0,0
0.21054,5.09,0,0
0.21087,5.1,0,0
0.21102,5.11,0,0
0.21116,5.12,0,0
0.21112,5.13,0,0
0.21108,5.14,0,0
0.21084,5.15,0,0
0.2106,5.16,0,0
0.21017,5.17,0,0
0.20974,5.18,0,0
0.20913,5.19,0,0
0.20852,5.2,0,0
0.20773,5.21,0,0
0.20695,5.22,0,0
0.20602,5.23,0,0
0.2051,5.24,0,0
0.20405,5.25,0,0
0.203,5.26,0,0
0.20183,5.27,0,0
0.20066,5.28,0,0
0.19938,5.29,0,0
0.19811,5.3,0,0
0.19676,5.31,0,0
0.19542,5.32,0,0
0.19402,5.33,0,0
0.19262,5.34,0,0
0.19117,5.35,0,0
0.18973,5.36,0,0
0.18826,5.37,0,0
0.1868,5.38,0,0
0.18532,5.39,0,0
0.18385,5.4,0,0
0.18237,5.41,0,0
0.1809,5.42,0,0
0.17944,5.43,0,0
0.17798,5.44,0,0
0.17654,5.45,0,0
0.1751,5.46,0,0
0.1737,5.47,0,0
0.17229,5.48,0,0
0.17092,5.49,0,0
0.16955,5.5,0,0
0.16825,5.51,0,0
0.16694,5.52,0,0
0.16572,5.53,0,0
0.16449,5.54,0,0
0.16333,5.55,0,0
0.16217,5.56,0,0
0.16109,5.57,0,0
0.16001,5.58,0,0
0.15901,5.59,0,0
0.158,5.6,0,0
0.15707,5.61,0,0
0.15614,5.62,0,0
0.15528,5.63,0,0
0.15443,5.64,0,0
0.15367,5.65,0,0
0.15291,5.66,0,0
0.15222,5.67,0,0
0.15154,5.68,0,0
0.15095,5.69,0,0
0.15036,5.7,0,0
0.14987,5.71,0,0
0.14937,5.72,0,0
0.14898,5.73,0,0
0.14859,5.74,0,0
0.14829,5.75,0,0
0.14798,5.76,0,0
0.14779,5.77,0,0
0.14759,5.78,0,0
0.14755,5.79,0,0
0.14752,5.8,0,0
0.14761,5.81,0,0
0.1477,5.82,0,0
0.14802,5.83,0,0
0.14834,5.84,0,0
0.14943,5.85,0,0
0.15052,5.86,0,0
0.15253,5.87,0,0
0.15455,5.88,0,0
0.15589,5.89,0,0
0.15722,5.9,0,0
0.15725,5.91,0,0
0.15728,5.92,0,0
0.15794,5.93,0,0
0.15859,5.94,0,0
0.15948,5.95,0,0
0.16037,5.96,0,0
0.16108,5.97,0,0
0.16178,5.98,0,0
0.1625,5.99,0,0
0.16322,6,0,0
0.16396,6.01,0,0
0.16471,6.02,0,0
0.16538,6.03,0,0
0.16605,6.04,0,0
0.16663,6.05,0,0
0.16722,6.06,0,0
0.16781,6.07,0,0
0.16839,6.08,0,0
0.16901,6.09,0,0
0.16963,6.1,0,0
0.17027,6.11,0,0
0.1709,6.12,0,0
0.17155,6.13,0,0
0.17219,6.14,0,0
0.17285,6.15,0,0
0.17352,6.16,0,0
0.17421,6.17,0,0
0.1749,6.18,0,0
0.17562,6.19,0,0
0.17635,6.2,0,0
0.17712,6.21,0,0
0.1779,6.22,0,0
0.17872,6.23,0,0
0.17954,6.24,0,0
0.18042,6.25,0,0
0.18129,6.26,0,0
0.1822,6.27,0,0
0.18311,6.28,0,0
0.18406,6.29,0,0
0.18501,6.3,0,0
0.18603,6.31,0,0
0.18704,6.32,0,0
0.18809,6.33,0,0
0.18914,6.34,0,0
0.19018,6.35,0,0
0.19122,6.36,0,0
0.19229,6.37,0,0
0.19336,6.38,0,0
0.19441,6.39,0,0
0.19546,6.4,0,0
0.19649,6.41,0,0
0.19752,6.42,0,0
0.19851,6.43,0,0
0.19949,6.44,0,0
0.20041,6.45,0,0
0.20133,6.46,0,0
0.20218,6.47,0,0
0.20302,6.48,0,0
0.20378,6.49,0,0
0.20455,6.5,0,0
0.2052,6.51,0,0
0.20586,6.52,0,0
0.20637,6.53,0,0
0.20688,6.54,0,0
0.20727,6.55,0,0
0.20766,6.56,0,0
0.20792,6.57,0,0
0.20817,6.58,0,0
0.20824,6.59,0,0
0.20832,6.6,0,0
0.20821,6.61,0,0
0.2081,6.62,0,0
0.20778,6.63,0,0
0.20746,6.64,0,0
0.20697,6.65,0,0
0.20647,6.66,0,0
0.20579,6.67,0,0
0.2051,6.68,0,0
0.20423,6.69,0,0
0.20336,6.7,0,0
0.2023,6.71,0,0
0.20124,6.72,0,0
0.2001,6.73,0,0
0.19895,6.74,0,0
0.19763,6.75,0,0
0.19631,6.76,0,0
0.195,6.77,0,0
0.19368,6.78,0,0
0.19226,6.79,0,0
0.19084,6.8,0,0
0.18937,6.81,0,0
0.1879,6.82,0,0
0.18633,6.83,0,0
0.18477,6.84,0,0
0.18332,6.85,0,0
0.18187,6.86,0,0
0.18065,6.87,0,0
0.17943,6.88,0,0
0.1784,6.89,0,0
0.17738,6.9,0,0
0.17649,6.91,0,0
0.1756,6.92,0,0
0.17488,6.93,0,0
0.17417,6.94,0,0
0.17363,6.95,0,0
0.17308,6.96,0,0
0.17264,6.97,0,0
0.1722,6.98,0,0
0.17185,6.99,0,0
0.1715,7,0,0
0.17124,7.01,0,0
0.17099,7.02,0,0
0.17091,7.03,0,0
0.17083,7.04,0,0
0.17088,7.05,0,0
0.17092,7.06,0,0
0.17108,7.07,0,0
0.17125,7.08,0,0
0.17135,7.09,0,0
0.17145,7.1,0,0
0.1718,7.11,0,0
0.17216,7.12,0,0
0.17254,7.13,0,0
0.17292,7.14,0,0
0.17335,7.15,0,0
0.17378,7.16,0,0
0.17406,7.17,0,0
0.17434,7.18,0,0
0.17449,7.19,0,0
0.17464,7.2,0,0
0.1746,7.21,0,0
0.17456,7.22,0,0
0.17434,7.23,0,0
0.17412,7.24,0,0
0.17398,7.25,0,0
0.17384,7.26,0,0
0.17355,7.27,0,0
0.17326,7.28,0,0
0.17283,7.29,0,0
0.1724,7.3,0,0
0.17193,7.31,0,0
0.17146,7.32,0,0
0.17097,7.33,0,0
0.17048,7.34,0,0
0.16998,7.35,0,0
0.16949,7.36,0,0
0.16899,7.37,0,0
0.16849,7.38,0,0
0.16798,7.39,0,0
0.16746,7.4,0,0
0.16694,7.41,0,0
0.16641,7.42,0,0
0.16587,7.43,0,0
0.16533,7.44,0,0
0.16478,7.45,0,0
0.16423,7.46,0,0
0.16366,7.47,0,0
0.1631,7.48,0,0
0.16252,7.49,0,0
0.16195,7.5,0,0
0.16136,7.51,0,0
0.16077,7.52,0,0
0.16018,7.53,0,0
0.15959,7.54,0,0
0.15899,7.55,0,0
0.15839,7.56,0,0
0.15779,7.57,0,0
0.15718,7.58,0,0
0.15658,7.59,0,0
0.15598,7.6,0,0
0.15538,7.61,0,0
0.15478,7.62,0,0
0.15419,7.63,0,0
0.1536,7.64,0,0
0.15302,7.65,0,0
0.15244,7.66,0,0
0.15187,7.67,0,0
0.1513,7.68,0,0
0.15076,7.69,0,0
0.15021,7.7,0,0
0.14969,7.71,0,0
0.14918,7.72,0,0
0.14869,7.73,0,0
0.14821,7.74,0,0
0.14776,7.75,0,0
0.14732,7.76,0,0
0.14692,7.77,0,0
0.14652,7.78,0,0
0.14616,7.79,0,0
0.1458,7.8,0,0
0.14549,7.81,0,0
0.14518,7.82,0,0
0.1449,7.83,0,0
0.14463,7.84,0,0
0.14438,7.85,0,0
0.14414,7.86,0,0
0.14391,7.87,0,0
0.14369,7.88,0,0
0.14346,7.89,0,0
0.14323,7.9,0,0
0.14307,7.91,0,0
0.14291,7.92,0,0
0.14273,7.93,0,0
0.14254,7.94,0,0
0.14245,7.95,0,0
0.14237,7.96,0,0
0.14232,7.97,0,0
0.14228,7.98,0,0
0.14237,7.99,0,0
0.14247,8,0,0
0.1427,8.01,0,0
0.14294,8.02,0,0
0.14329,8.03,0,0
0.14364,8.04,0,0
0.1441,8.05,0,0
0.14456,8.06,0,0
0.14515,8.07,0,0
0.14574,8.08,0,0
0.1465,8.09,0,0
0.14727,8.1,0,0
0.14834,8.11,0,0
0.14941,8.12,0,0
0.1509,8.13,0,0
0.15239,8.14,0,0
0.15409,8.15,0,0
0.15579,8.16,0,0
0.15713,8.17,0,0
0.15848,8.18,0,0
0.15954,8.19,0,0
0.16061,8.2,0,0
0.16199,8.21,0,0
0.16337,8.22,0,0
0.16478,8.23,0,0
0.16619,8.24,0,0
0.16719,8.25,0,0
0.1682,8.26,0,0
0.16903,8.27,0,0
0.16986,8.28,0,0
0.17058,8.29,0,0
0.1713,8.3,0,0
0.1717,8.31,0,0
0.17209,8.32,0,0
0.17227,8.33,0,0
0.17244,8.34,0,0
0.17252,8.35,0,0
0.17259,8.36,0,0
0.17262,8.37,0,0
0.17265,8.38,0,0
0.17267,8.39,0,0
0.17269,8.4,0,0
0.17273,8.41,0,0
0.17277,8.42,0,0
0.17285,8.43,0,0
0.17293,8.44,0,0
0.17307,8.45,0,0
0.1732,8.46,0,0
0.17341,8.47,0,0
0.17361,8.48,0,0
0.1738,8.49,0,0
0.17398,8.5,0,0
0.17421,8.51,0,0
0.17444,8.52,0,0
0.1747,8.53,0,0
0.17497,8.54,0,0
0.17525,8.55,0,0
0.17552,8.56,0,0
0.17581,8.57,0,0
0.17609,8.58,0,0
0.1764,8.59,0,0
0.1767,8.6,0,0
0.17704,8.61,0,0
0.17738,8.62,0,0
0.17775,8.63,0,0
0.17812,8.64,0,0
0.17846,8.65,0,0
0.17879,8.66,0,0
0.17912,8.67,0,0
0.17944,8.68,0,0
0.17977,8.69,0,0
0.18009,8.7,0,0
0.18041,8.71,0,0
0.18073,8.72,0,0
0.18104,8.73,0,0
0.18136,8.74,0,0
0.18166,8.75,0,0
0.18197,8.76,0,0
0.18226,8.77,0,0
0.18255,8.78,0,0
0.18281,8.79,0,0
0.18307,8.8,0,0
0.18327,8.81,0,0
0.18347,8.82,0,0
0.18362,8.83,0,0
0.18377,8.84,0,0
0.18385,8.85,0,0
0.18394,8.86,0,0
0.18394,8.87,0,0
0.18394,8.88,0,0
0.18382,8.89,0,0
0.18371,8.9,0,0
0.18351,8.91,0,0
0.18331,8.92,0,0
0.18297,8.93,0,0
0.18263,8.94,0,0
0.18217,8.95,0,0
0.18172,8.96,0,0
0.18116,8.97,0,0
0.18059,8.98,0,0
0.17992,8.99,0,0
0.17926,9,0,0
0.17849,9.01,0,0
0.17772,9.02,0,0
0.17685,9.03,0,0
0.17598,9.04,0,0
0.17504,9.05,0,0
0.17411,9.06,0,0
0.17314,9.07,0,0
0.17217,9.08,0,0
0.1712,9.09,0,0
0.17022,9.1,0,0
0.16926,9.11,0,0
0.1683,9.12,0,0
0.16735,9.13,0,0
0.16639,9.14,0,0
0.16553,9.15,0,0
0.16467,9.16,0,0
0.16397,9.17,0,0
0.16327,9.18,0,0
0.16272,9.19,0,0
0.16218,9.2,0,0
0.16182,9.21,0,0
0.16145,9.22,0,0
0.16127,9.23,0,0
0.16109,9.24,0,0
0.16105,9.25,0,0
0.16101,9.26,0,0
0.16113,9.27,0,0
0.16125,9.28,0,0
0.16151,9.29,0,0
0.16178,9.3,0,0
0.16221,9.31,0,0
0.16263,9.32,0,0
0.16314,9.33,0,0
0.16365,9.34,0,0
0.1643,9.35,0,0
0.16494,9.36,0,0
0.1657,9.37,0,0
0.16646,9.38,0,0
0.16737,9.39,0,0
0.16828,9.4,0,0
0.16927,9.41,0,0
0.17027,9.42,0,0
0.17115,9.43,0,0
0.17204,9.44,0,0
0.17301,9.45,0,0
0.17398,9.46,0,0
0.17495,9.47,0,0
0.17591,9.48,0,0
0.17683,9.49,0,0
0.17775,9.5,0,0
0.17871,9.51,0,0
0.17968,9.52,0,0
0.18047,9.53,0,0
0.18126,9.54,0,0
0.18209,9.55,0,0
0.18293,9.56,0,0
0.18372,9.57,0,0
0.18452,9.58,0,0
0.18516,9.59,0,0
0.1858,9.6,0,0
0.18611,9.61,0,0
0.18643,9.62,0,0
0.18727,9.63,0,0
0.18812,9.64,0,0
0.18751,9.65,0,0
0.18691,9.66,0,0
0.18695,9.67,0,0
0.18698,9.68,0,0
0.18655,9.69,0,0
0.18612,9.7,0,0
0.18573,9.71,0,0
0.18533,9.72,0,0
0.18478,9.73,0,0
0.18424,9.74,0,0
0.1838,9.75,0,0
0.18335,9.76,0,0
0.18318,9.77,0,0
0.18301,9.78,0,0
0.18225,9.79,0,0
0.18149,9.8,0,0
0.1807,9.81,0,0
0.17992,9.82,0,0
0.17862,9.83,0,0
0.17733,9.84,0,0
0.17654,9.85,0,0
0.17575,9.86,0,0
0.17499,9.87,0,0
0.17422,9.88,0,0
0.17377,9.89,0,0
0.17331,9.9,0,0
0.17251,9.91,0,0
0.1717,9.92,0,0
0.17172,9.93,0,0
0.17174,9.94,0,0
0.17622,9.95,0,0
0.18069,9.96,0,0
0.17674,9.97,0,0
0.1728,9.98,0,0
0.17617,9.99,0,0
0.17954,10,0,0
